DESCRIPTION,CREATED_BY_ID,CLOSED_BY_ID,VEHICLE_ID,VEHICLE_METER_VALUE,VEHICLE_METER_UNIT,VEHICLE_METER_AT,CUSTOM_FIELDS,REPORTED_AT,RESOLVED_AT,RESOLVED_NOTE,STATE,CREATED_AT,UPDATED_AT
crank,3264b7acc673cbbad595a95e32ef8408,,0fff06013eeb61d39d0ad5f281633a7b,254.045923,mi,2023-01-12T00:00:00Z,{},2023-01-12T15:16:01.49Z,,,open,2023-01-12T15:16:01.677Z,2023-01-12T15:16:02.617Z
"tire, cassette",3264b7acc673cbbad595a95e32ef8408,,f477d792786b6ce7c4f8a3829d5326d0,-15103.63195,mi,2023-05-03T00:00:00Z,{},2023-05-03T20:53:22.355Z,2023-05-03T20:54:45Z,,resolved,2023-05-03T20:53:22.632Z,2023-05-03T20:54:49.402Z
"rotor contaminated, pads, caliper align",3264b7acc673cbbad595a95e32ef8408,,a621342eec30998fceef4690a42c0517,-1339.098071,mi,2023-04-11T00:00:00Z,{},2023-04-11T12:26:40.965Z,2023-04-11T12:28:52Z,,resolved,2023-04-11T12:26:41.266Z,2023-04-11T12:28:54.349Z
N/A,,,6b6af7ee2cd61be9ab0f671fab943c50,36571.85124,mi,2023-07-04T00:00:00Z,{},2023-05-02T10:39:55Z,,,open,2023-05-02T11:33:16.538Z,2023-05-02T11:33:16.538Z
elevator moving very slowly with high pressure on has pedal broom and elevator run,5105524b9738834c6314c3bfbcd9b0e9,,793da8389f9f0e5283dee72246c79446,16203.23935,km,2023-07-01T00:00:00Z,,2023-06-05T23:24:24.317Z,2023-06-06T04:00:00Z,,resolved,2023-06-05T23:26:54.895Z,2023-06-06T19:50:57.65Z
Air horn leak,,,9fb0c6776c55fd0c5936d3438a696794,195625.5035,mi,2023-07-04T00:00:00Z,{},2023-05-25T21:31:40Z,,,open,2023-05-25T22:32:50.245Z,2023-05-25T22:32:50.245Z
Employee accidentally hit the lift in the garage while parking,34e8ee84f9f10351c11c84ea0cefa6a0,,c5e166c8280e0a40efc05c2d8ffabad4,-1485.170606,mi,2023-07-05T00:00:00Z,{},2023-04-10T08:33:05.575Z,2023-04-11T04:00:00Z,,resolved,2023-04-10T08:35:10.893Z,2023-04-11T13:45:13.823Z
,985e6ec4d9a58573df0f94a372dca9d5,,22a763c9cf1f8e5719b131b5590aa1af,177347.8268,mi,2023-06-29T00:00:00Z,{},2023-01-01T10:31:00Z,2023-01-06T23:52:00Z,,resolved,2023-01-01T10:44:47.245Z,2023-01-06T23:59:42.104Z
battery terminal split but currently works.,b746f2e286e78629fb4639bb4c833520,,de5239d3f60e56216444b278593f17bd,179560.5815,mi,2023-06-08T00:00:00Z,{},2023-06-05T13:17:00Z,2023-06-20T18:14:33.71Z,12: Bothe positive and negative battery terminals have been replaced!,resolved,2023-06-05T13:21:21.03Z,2023-06-20T18:14:33.777Z
Anchor door hinges are broken and door is completely off.,160f2d6def60bc6b2fd8c624d819aef0,,d647888746d130bcc4b7a3842db5cd55,21997.4624,mi,2023-06-29T00:00:00Z,"{
  ""assigned_scheduled_on_a_wo"": """"
}",2023-06-26T20:39:40.24Z,,,open,2023-06-26T20:41:56.435Z,2023-06-26T20:41:56.481Z
